month,day,gas,ton_CO2,CER_CO2,petroleo,prec,sol,tmed,velmedia,acumuladoprec,Precio medio,anno,Weekend,Invierno,Verano,Otono,Festivo,mes,cat_prec,cat_acumuladoprec,cat_sol,cat_tmed,cat_velmedia,cat_petroleo,cat_gas,cat_ton_CO2,cat_CER_CO2
2,14,16.986666666666668,11.836666666666666,0.22833333333333336,55.00666666666666,2.3065459243296726,5.053705873762226,10.173051938699798,3.3995882065846685,31.280276361834662,41.36743055555556,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,2.0,2.3333333333333335,1.6666666666666667,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,15,16.986666666666668,11.923333333333332,0.22999999999999998,55.51833333333334,0.9228376424191446,5.921983627059061,10.537517354186898,3.175730301142749,30.471896289354174,41.53652777777777,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,1.8333333333333333,2.0,2.0,2.1666666666666665,2.0,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,16,16.986666666666668,12.01,0.22999999999999998,55.76666666666666,1.2233097066343286,6.325819324200977,10.343942128393644,2.934181783548665,28.435480939834324,46.017152777777774,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,1.6666666666666667,2.0,2.1666666666666665,2.1666666666666665,1.8333333333333333,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,17,16.986666666666668,11.983333333333334,0.22666666666666666,56.16833333333332,1.2291601991355934,6.196467381811935,9.394732912311982,3.040880522165283,27.2097913489435,45.20666666666667,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,2.1666666666666665,2.0,2.1666666666666665,2.0,2.0,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,18,16.986666666666668,12.076666666666668,0.22666666666666666,56.185,1.3726622609153194,5.189777898793962,8.93594754070229,2.731862592619585,25.68126822850645,47.026666666666664,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,2.0,1.8333333333333333,1.8333333333333333,1.6666666666666667,2.0,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,19,16.986666666666668,12.191666666666668,0.2283333333333333,56.03666666666667,0.7348884135835166,6.621759451082316,9.282172711310862,2.600604416191365,24.07990176922083,49.74381944444445,2017.5,0.16666666666666666,1.0,0.0,0.0,0.0,2.0,1.8333333333333333,1.8333333333333333,2.1666666666666665,1.8333333333333333,1.6666666666666667,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,20,16.986666666666668,12.196666666666665,0.2283333333333333,56.495,0.9699504246441673,7.138324390253287,9.690186671987306,2.800374950901386,23.41342186640419,48.3836111111111,2017.5,0.16666666666666666,1.0,0.0,0.0,0.0,2.0,1.6666666666666667,1.8333333333333333,2.5,2.0,1.6666666666666667,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,21,16.986666666666668,11.918333333333331,0.22999999999999998,56.873333333333335,0.6459215014182844,7.218018351965706,10.023165894874259,3.1642559502844008,22.40637743013603,42.404999999999994,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,1.8333333333333333,1.8333333333333333,2.5,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,22,16.986666666666668,12.041666666666666,0.22833333333333336,56.650000000000006,0.2765930420856048,7.822464684188262,10.357790918880857,2.7193057541889125,22.01824850796306,42.381458333333335,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,1.5,1.8333333333333333,2.5,2.3333333333333335,1.6666666666666667,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,23,16.986666666666668,11.846666666666666,0.23,56.36000000000001,0.9632571904338385,6.598913854681357,10.609328372908125,2.780508183716693,21.63233873895997,43.93423611111111,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,1.6666666666666667,1.8333333333333333,2.1666666666666665,2.3333333333333335,1.6666666666666667,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
